Index,feature name
779,LRRC42
780,RP4-758J24.5
781,TMEM59
782,TCEANC2
783,AL161915.1
784,AL357673.1
785,CYB5RL
786,MRPL37
787,SSBP3
788,SSBP3-AS1
789,ACOT11
790,MROH7
791,TTC4
792,PARS2
793,TTC22
794,DHCR24
795,RP11-67L3.4
796,TMEM61
797,PCSK9
798,USP24
799,RP11-466L17.1
800,RP11-90C4.1
801,RP11-504A18.1
802,PPAP2B
803,PRKAA2
804,OMA1
805,TACSTD2
806,MYSM1
807,JUN
808,LINC01135
809,RP4-794H19.1
810,RP4-794H19.4
811,RP11-145M4.3
812,RP11-467C18.1
813,FGGY
814,RP4-782L23.1
815,HOOK1
816,CYP2J2
817,C1orf87
818,RP11-436K8.1
819,NFIA
820,RP4-668G5.1
821,TM2D1
822,RP11-430G17.3
823,INADL
824,L1TD1
825,KANK4
826,USP1
827,DOCK7
828,RP11-230B22.1
829,ATG4C
830,RP11-335E6.2
831,RP11-335E6.4
832,RP4-792G4.2
833,FOXD3
834,ALG6
835,ITGB3BP
836,EFCAB7
837,DLEU2L
838,PGM1
839,ROR1
840,RP11-24J23.2
841,CACHD1
842,RAVER2
843,JAK1
844,RP11-182I10.3
845,RP4-535B20.4
846,RP4-535B20.1
847,AK4
848,DNAJC6
849,LEPR
850,LEPROT
851,PDE4B
852,SGIP1
853,TCTEX1D1
854,WDR78
855,MIER1
856,SLC35D1
857,IL23R
858,IL12RB2
859,SERBP1
860,GADD45A
861,GNG12
862,GNG12-AS1
863,DIRAS3
864,WLS
865,DEPDC1
866,LRRC7
867,LRRC40
868,SRSF11
869,ANKRD13C
870,HHLA3
871,RP11-180O5.2
872,CTH
873,RP11-42O15.3
874,PTGER3
875,RP3-333A15.1
876,ZRANB2-AS1
877,ZRANB2
878,NEGR1
879,LRRIQ3
880,FPGT
881,FPGT-TNNI3K
882,TNNI3K
883,RP4-650F12.2
884,C1orf173
885,RP11-17E13.2
886,CRYZ
887,TYW3
888,SLC44A5
889,ACADM
890,RABGGTB
891,ST6GALNAC3
892,ST6GALNAC5
893,PIGK
894,AK5
895,ZZZ3
896,USP33
897,FAM73A
898,NEXN-AS1
899,NEXN
900,FUBP1
901,DNAJB4
902,GIPC2
903,RP11-386I14.4
904,PTGFR
905,IFI44L
906,IFI44
907,ELTD1
908,RP5-887A10.1
909,LPHN2
910,RP4-601K24.1
911,RP11-475O6.1
912,RP5-836J3.1
913,TTLL7
914,RP11-486G15.2
915,PRKACB
916,SAMD13
917,RPF1
918,GNG5
919,CTBS
920,SSX2IP
921,LPAR3
922,MCOLN2
923,WDR63
924,MCOLN3
925,SYDE2
926,C1orf52
927,BCL10
928,RP11-131L23.1
929,DDAH1
930,RP11-131L23.2
931,RP11-290M5.4
932,CYR61
933,ZNHIT6
934,COL24A1
935,ODF2L
936,CLCA2
937,CLCA4
938,RP4-651E10.4
939,RP4-612B15.3
940,SH3GLB1
941,SEP15
942,HS2ST1
943,RP4-604K5.3
944,RP4-604K5.2
945,LINC01140
946,LMO4
947,RP11-76N22.2
948,PKN2
949,GTF2B
950,CCBL2
951,RBMXL1
